zip_code,pop_25_over,pct_bachelors_plus_25_over,count_bachelors_plus_25_over,pop_18_24,pct_bachelor_and_over_18_24,count_bachelors_plus_18_24
10589,5975.0,65.8,3932,227.0,59.9,136
10590,5212.0,69.2,3607,450.0,36.7,165
10591,17568.0,53.5,9399,1582.0,26.7,422
10594,3851.0,47.8,1841,389.0,16.5,64
10595,5124.0,46.7,2393,957.0,53.9,516
10596,594.0,42.1,250,0.0,,
10597,397.0,69.8,277,50.0,52.0,26
10598,20389.0,57.6,11744,2478.0,30.1,746
10601,8558.0,55.8,4775,842.0,29.5,248
10603,13914.0,47.1,6553,1463.0,37.9,554
10604,8137.0,51.3,4174,762.0,39.4,300
10605,14752.0,65.8,9707,1286.0,41.3,531
10606,12159.0,45.2,5496,1329.0,20.5,272
10607,4517.0,53.4,2412,488.0,25.6,125
10701,47301.0,29.5,13954,6264.0,11.3,708
10703,15519.0,26.2,4066,2232.0,9.8,219
10704,22750.0,36.7,8349,2794.0,14.2,397
10705,26969.0,30.1,8118,3903.0,9.8,382
10706,6516.0,73.0,4757,667.0,45.9,306
10707,7392.0,62.1,4590,774.0,30.0,232
10708,15339.0,64.8,9940,2715.0,12.9,350
10709,6726.0,67.6,4547,865.0,42.3,366
10710,18753.0,43.7,8195,1948.0,30.4,592
10801,28207.0,43.2,12185,5815.0,22.0,1279
10803,8268.0,73.5,6077,833.0,35.4,295
10804,10269.0,79.9,8205,950.0,34.5,328
10805,15916.0,35.0,5571,2017.0,37.7,760
10901,16649.0,47.5,7908,2333.0,17.6,411
10910,0.0,,,0.0,,
10911,18.0,55.6,10,0.0,,
10913,3514.0,49.0,1722,826.0,20.5,169
10914,328.0,54.3,178,113.0,34.5,39
10915,0.0,,,0.0,,
10916,3088.0,44.9,1387,422.0,36.5,154
10917,1005.0,45.7,459,174.0,0.0,0
10918,8324.0,41.1,3421,1004.0,18.5,186
10919,1091.0,44.3,483,49.0,16.3,8
10920,5773.0,52.3,3019,782.0,31.6,247
10921,3115.0,30.9,963,355.0,4.5,16
10922,817.0,28.5,233,100.0,100.0,100
10923,5982.0,36.2,2165,517.0,19.9,103
10924,9654.0,41.6,4016,1210.0,23.7,287
10925,3462.0,34.8,1205,302.0,6.3,19
10926,2632.0,43.5,1145,174.0,41.4,72
10927,8277.0,24.3,2011,1130.0,7.5,85
10928,3778.0,32.8,1239,361.0,14.1,51
10930,6632.0,48.1,3190,1268.0,21.5,273
10931,695.0,27.9,194,88.0,14.8,13
10932,14.0,0.0,0,0.0,,
10933,140.0,28.6,40,13.0,0.0,0
10940,35655.0,24.0,8557,4797.0,12.3,590
10941,9953.0,30.9,3075,2008.0,14.2,285
10950,28244.0,25.8,7287,8032.0,7.8,626
10952,20060.0,26.4,5296,5475.0,6.4,350
10953,0.0,,,0.0,,
10954,19560.0,46.7,9135,2193.0,32.6,715
10956,21647.0,58.2,12599,2319.0,39.4,914
10958,1931.0,26.8,518,219.0,19.6,43
10960,11288.0,62.6,7066,1429.0,18.5,264
10962,3812.0,55.7,2123,300.0,32.3,97
10963,3152.0,16.9,533,181.0,32.0,58
10964,1072.0,59.3,636,98.0,44.9,44
10965,10511.0,47.4,4982,1224.0,43.4,531
10968,1904.0,65.5,1247,153.0,44.4,68
10969,860.0,28.0,241,41.0,0.0,0
10970,7866.0,44.5,3500,844.0,18.4,155
10973,1503.0,43.4,652,242.0,0.0,0
10974,2235.0,42.7,954,350.0,26.9,94
10975,176.0,6.3,11,0.0,,
10976,1207.0,53.6,647,605.0,6.9,42
10977,35570.0,23.1,8217,6621.0,7.6,503
10979,84.0,0.0,0,0.0,,
10980,9694.0,36.7,3558,1171.0,38.0,445
10983,4046.0,61.9,2504,503.0,47.7,240
10984,1958.0,37.9,742,164.0,25.0,41
10985,12.0,50.0,6,0.0,,
10986,1029.0,43.2,445,205.0,22.9,47
10987,3120.0,48.8,1523,285.0,20.0,57
10988,383.0,44.4,170,79.0,0.0,0
10989,6548.0,57.8,3785,491.0,37.7,185
10990,14925.0,49.7,7418,1495.0,35.6,532
10992,6555.0,30.0,1966,1035.0,20.2,209
10993,3203.0,23.6,756,469.0,2.8,13
10994,4476.0,58.8,2632,319.0,10.3,33
10996,2069.0,78.7,1628,2742.0,3.2,88
10998,2400.0,40.8,979,350.0,13.7,48
11001,18123.0,53.4,9678,2146.0,22.4,481
11003,31823.0,32.9,10470,3999.0,15.7,628
11004,11393.0,44.0,5013,612.0,36.4,223
11005,2168.0,71.4,1548,12.0,0.0,0
11010,18050.0,39.7,7166,2497.0,26.9,672
11020,3968.0,62.9,2496,787.0,31.3,246
11021,14632.0,64.8,9482,1076.0,32.0,344
11023,5967.0,67.7,4040,716.0,30.6,219
11024,4795.0,52.1,2498,1216.0,5.5,67
11030,12100.0,83.6,10116,1073.0,29.3,314
11040,30332.0,56.1,17016,3564.0,34.9,1244
11042,232.0,2.6,6,0.0,,
11050,22452.0,66.6,14953,2043.0,33.9,693
11096,6303.0,27.7,1746,803.0,5.9,47
11101,30609.0,65.4,20018,2710.0,50.6,1371
11102,22497.0,58.2,13093,1769.0,37.0,655
11103,28416.0,52.4,14890,2249.0,40.3,906
11104,20901.0,51.3,10722,1237.0,30.0,371
11105,29964.0,54.6,16360,2553.0,26.8,684
11106,31294.0,52.3,16367,3117.0,33.4,1041
11109,5859.0,87.2,5109,121.0,100.0,121
11201,52350.0,79.2,41461,5557.0,41.6,2312
11203,57766.0,25.9,14961,4812.0,11.8,568
11204,49704.0,30.5,15160,5987.0,22.5,1347
11205,29902.0,52.5,15699,5828.0,16.4,956
11206,55844.0,36.3,20271,9195.0,22.9,2106
11207,64067.0,19.4,12429,8945.0,14.6,1306
11208,69088.0,15.8,10916,9431.0,9.9,934
11209,52678.0,52.8,27814,4036.0,25.4,1025
11210,41573.0,39.3,16338,4903.0,16.5,809
11211,46081.0,54.8,25252,6086.0,36.1,2197
11212,58490.0,16.4,9592,7603.0,6.4,487
11213,46710.0,34.0,15881,6745.0,20.3,1369
11214,63263.0,32.4,20497,6372.0,17.6,1121
11215,52975.0,80.2,42486,2605.0,41.0,1068
11216,47850.0,55.8,26700,3635.0,43.0,1563
11217,33086.0,73.0,24153,1711.0,41.4,708
11218,48420.0,51.0,24694,4948.0,25.0,1237
11219,48268.0,21.5,10378,8694.0,12.2,1061
11220,61457.0,25.4,15610,6415.0,19.4,1245
11221,65891.0,42.0,27674,9405.0,29.7,2793
11222,33461.0,65.4,21883,2656.0,52.1,1384
11223,50811.0,33.6,17072,5945.0,18.4,1094
11224,34534.0,33.5,11569,3380.0,9.9,335
11225,42884.0,48.1,20627,3995.0,24.2,967
11226,73768.0,36.2,26704,7775.0,17.5,1361
11228,31445.0,37.1,11666,3081.0,32.7,1007
11229,57192.0,41.3,23620,4662.0,18.6,867
11230,58329.0,43.7,25490,6108.0,15.8,965
11231,28376.0,69.1,19608,1774.0,12.6,224
11232,19667.0,36.2,7119,2063.0,11.1,229
11233,57837.0,32.5,18797,7875.0,26.6,2095
11234,62972.0,38.8,24433,6507.0,16.6,1080
11235,63022.0,49.6,31259,5020.0,18.2,914
11236,67475.0,28.5,19230,7534.0,13.9,1047
11237,33975.0,41.4,14066,4804.0,34.8,1672
11238,46155.0,71.2,32862,2143.0,36.7,786
11239,12088.0,22.1,2671,1057.0,5.9,62
11249,29279.0,59.2,17333,3102.0,30.4,943
11354,42188.0,32.9,13880,3028.0,21.2,642
11355,63003.0,23.6,14869,4094.0,22.5,921
11356,18608.0,25.0,4652,2174.0,21.4,465
11357,31776.0,37.9,12043,2344.0,26.2,614
11358,27630.0,37.3,10306,1951.0,28.4,554
11359,0.0,,,0.0,,
11360,15643.0,49.2,7696,969.0,41.2,399
11361,22559.0,48.1,10851,1743.0,32.7,570
11362,14414.0,52.2,7524,958.0,32.8,314
11363,5690.0,54.9,3124,300.0,46.7,140
11364,27005.0,48.7,13151,1995.0,28.1,561
11365,31784.0,38.8,12332,2684.0,25.5,684
11366,9657.0,52.0,5022,942.0,27.5,259
11367,27652.0,45.7,12637,4388.0,15.5,680
11368,72070.0,14.4,10378,8650.0,9.8,848
11369,23969.0,23.7,5681,2716.0,15.8,429
11370,21462.0,24.8,5323,2426.0,23.9,580
11371,0.0,,,0.0,,
11372,50623.0,35.1,17769,3869.0,20.1,778
11373,71522.0,29.6,21171,7264.0,15.5,1126
11374,34559.0,50.7,17521,2489.0,25.8,642
11375,58054.0,60.6,35181,3060.0,32.3,988
11377,64044.0,33.1,21199,4583.0,19.8,907
11378,26304.0,26.2,6892,3001.0,17.9,537
11379,28267.0,35.1,9922,2370.0,24.7,585
11385,74152.0,34.1,25286,9452.0,21.2,2004
11411,15593.0,35.5,5536,1424.0,16.4,234
11412,29265.0,25.2,7375,3601.0,12.0,432
11413,31554.0,29.5,9308,4113.0,8.0,329
11414,22530.0,31.3,7052,1358.0,9.9,134
11415,15761.0,52.9,8338,1350.0,25.2,340
11416,18547.0,24.8,4600,2406.0,19.0,457
11417,20880.0,24.7,5157,2466.0,22.9,565
11418,25171.0,32.4,8155,3139.0,19.9,625
11419,34825.0,20.7,7209,4222.0,18.2,768
11420,36016.0,21.8,7851,4601.0,16.0,736
11421,29452.0,26.0,7658,3945.0,22.0,868
11422,24045.0,33.3,8007,2612.0,13.6,355
11423,21382.0,34.3,7334,2446.0,12.6,308
11424,0.0,,,0.0,,
11426,14639.0,43.8,6412,1347.0,29.8,401
11427,19025.0,35.7,6792,1639.0,17.8,292
11428,13950.0,27.7,3864,1948.0,23.8,464
11429,20111.0,26.8,5390,2787.0,8.2,229
11430,334.0,5.4,18,27.0,0.0,0
11432,44034.0,35.7,15720,6070.0,23.9,1451
11433,24649.0,19.1,4708,3601.0,10.0,360
11434,47408.0,22.2,10525,5502.0,11.8,649
11435,41075.0,32.4,13308,4684.0,11.8,553
11436,14799.0,22.2,3285,2234.0,14.1,315
11439,8.0,100.0,8,2083.0,2.4,50
11451,0.0,,,0.0,,
11501,16671.0,54.8,9136,898.0,36.6,329
11507,4877.0,66.3,3233,685.0,50.1,343
11509,1414.0,60.2,851,59.0,45.8,27
11510,24555.0,43.0,10559,3103.0,26.9,835
11514,3330.0,50.2,1672,242.0,60.7,147
11516,5541.0,46.7,2588,880.0,13.8,121
11518,7482.0,44.3,3315,672.0,32.7,220
11520,31448.0,27.3,8585,3908.0,16.0,625
11530,18088.0,70.9,12824,2967.0,30.3,899
11542,21041.0,40.8,8585,2601.0,26.0,676
11545,8498.0,66.0,5609,730.0,42.9,313
11547,650.0,58.6,381,28.0,0.0,0
11548,978.0,67.5,660,1012.0,8.9,90
11549,86.0,69.8,60,2259.0,7.8,176
11550,41049.0,20.9,8579,5502.0,10.4,572
11552,16993.0,47.0,7987,2409.0,23.5,566
11553,18307.0,21.7,3973,3383.0,8.1,274
11554,25993.0,44.2,11489,2939.0,23.0,676
11556,0.0,,,0.0,,
11557,5696.0,65.3,3719,574.0,34.1,196
11558,6414.0,36.3,2328,585.0,16.9,99
11559,5209.0,56.1,2922,1344.0,30.6,411
11560,4783.0,60.0,2870,537.0,31.7,170
11561,30913.0,52.8,16322,2638.0,34.6,913
11563,16184.0,43.6,7056,1490.0,21.6,322
11565,6607.0,56.4,3726,489.0,26.6,130
11566,24679.0,57.7,14240,2337.0,29.5,689
11568,2192.0,76.4,1675,1459.0,14.8,216
11569,786.0,55.0,432,110.0,27.3,30
11570,19960.0,61.5,12275,1814.0,19.4,352
11572,21601.0,47.6,10282,2265.0,33.4,757
11575,12404.0,27.6,3424,2047.0,10.6,217
11576,9253.0,79.7,7375,875.0,41.8,366
11577,8817.0,67.7,5969,813.0,31.7,258
11579,3383.0,62.5,2114,283.0,45.6,129
11580,31232.0,37.7,11774,3894.0,22.1,861
11581,15073.0,47.6,7175,1839.0,34.2,629
11590,34801.0,40.1,13955,3773.0,13.5,509
11596,7004.0,56.1,3929,750.0,19.2,144
11598,7872.0,71.1,5597,1338.0,20.7,277
11691,43508.0,23.3,10137,5717.0,13.3,760
11692,14785.0,26.5,3918,1795.0,8.5,153
11693,9343.0,35.7,3335,838.0,18.4,154
11694,15451.0,43.3,6690,1056.0,14.8,156
11697,3078.0,51.9,1597,314.0,29.6,93
11701,19917.0,31.2,6214,2634.0,12.1,319
11702,10696.0,53.3,5701,849.0,30.3,257
11703,11973.0,34.5,4131,1697.0,25.2,428
11704,29119.0,31.8,9260,3386.0,16.7,565
11705,5813.0,56.2,3267,773.0,40.0,309
11706,45825.0,26.4,12098,5688.0,15.0,853
11709,5130.0,55.3,2837,470.0,41.9,197
11710,24382.0,54.0,13166,2075.0,28.7,596
11713,5866.0,36.8,2159,1133.0,11.7,133
11714,16087.0,40.8,6563,1486.0,37.1,551
11715,2839.0,56.6,1607,191.0,0.0,0
11716,6937.0,42.0,2914,669.0,19.7,132
11718,2097.0,57.4,1204,177.0,28.8,51
11719,2366.0,37.0,875,280.0,26.1,73
11720,19125.0,35.3,6751,2827.0,26.9,760
11721,4955.0,72.1,3573,335.0,22.4,75
11722,24640.0,18.4,4534,4003.0,5.1,204
11724,1875.0,80.1,1502,224.0,41.1,92
11725,20146.0,59.0,11886,2476.0,36.5,904
11726,14080.0,25.6,3604,2275.0,13.0,296
11727,21513.0,34.3,7379,2676.0,19.3,516
11729,18998.0,36.1,6858,1959.0,23.3,456
11730,10572.0,38.9,4113,1116.0,24.8,277
11731,21367.0,51.0,10897,2266.0,41.4,938
11732,2625.0,63.6,1670,103.0,8.7,9
11733,11901.0,62.9,7486,1542.0,25.0,386
11735,23939.0,44.7,10701,3147.0,34.0,1070
11738,12908.0,31.9,4118,2179.0,13.4,292
11739,922.0,59.3,547,86.0,41.9,36
11740,7503.0,57.0,4277,870.0,27.5,239
11741,18450.0,33.3,6144,2285.0,19.0,434
11742,9293.0,35.3,3280,1037.0,18.4,191
11743,30903.0,63.7,19685,3121.0,35.1,1095
11746,48359.0,50.3,24325,5291.0,21.4,1132
11747,15195.0,62.4,9482,1130.0,45.2,511
11749,2804.0,30.8,864,250.0,22.0,55
11751,10045.0,36.0,3616,847.0,25.3,214
11752,6592.0,31.9,2103,708.0,22.7,161
11753,8500.0,73.8,6273,678.0,37.3,253
11754,13155.0,45.6,5999,1272.0,37.3,474
11755,8172.0,48.3,3947,1009.0,38.8,391
11756,30325.0,36.9,11190,3851.0,23.2,893
11757,31729.0,30.3,9614,3383.0,19.4,656
11758,39549.0,49.5,19577,4239.0,32.5,1378
11762,16135.0,51.2,8261,1674.0,24.4,408
11763,20958.0,29.0,6078,2161.0,9.5,205
11764,8584.0,47.5,4077,1083.0,36.7,397
11765,524.0,79.0,414,52.0,38.5,20
11766,8142.0,51.3,4177,616.0,27.8,171
11767,10284.0,47.2,4854,1531.0,16.5,253
11768,16105.0,62.4,10050,1425.0,41.7,594
11769,6997.0,46.6,3261,840.0,18.8,158
11770,91.0,13.2,12,10.0,0.0,0
11771,7212.0,57.6,4154,803.0,44.0,353
11772,32807.0,32.7,10728,3885.0,16.0,622
11776,15898.0,36.1,5739,2170.0,30.6,664
11777,6788.0,68.7,4663,802.0,22.8,183
11778,8809.0,40.4,3559,1067.0,26.6,284
11779,26867.0,31.1,8356,3565.0,17.3,617
11780,11218.0,51.8,5811,1318.0,23.5,310
11782,10321.0,55.3,5708,906.0,33.3,302
11783,15177.0,45.8,6951,2072.0,27.7,574
11784,17763.0,29.6,5258,2652.0,18.3,485
11786,4284.0,43.7,1872,604.0,6.8,41
11787,24266.0,50.5,12254,3463.0,26.9,932
11788,12056.0,49.7,5992,1735.0,40.6,704
11789,5180.0,46.4,2404,780.0,21.9,171
11790,9250.0,69.1,6392,7982.0,9.3,742
11791,16569.0,70.6,11698,1374.0,33.8,464
11792,6093.0,47.8,2912,835.0,18.8,157
11793,21850.0,49.4,10794,2532.0,29.0,734
11794,28.0,78.6,22,1448.0,4.4,64
11795,16890.0,50.5,8529,2776.0,29.1,808
11796,2645.0,42.2,1116,358.0,22.1,79
11797,7021.0,65.8,4620,419.0,36.3,152
11801,30255.0,43.5,13161,4285.0,25.7,1101
11803,21294.0,66.4,14139,2252.0,40.3,908
11804,3083.0,70.1,2161,315.0,9.5,30
11901,23602.0,21.4,5051,2767.0,7.6,210
11930,520.0,62.3,324,59.0,0.0,0
11931,24.0,0.0,0,0.0,,
11932,586.0,63.7,373,0.0,,
11933,5454.0,28.3,1543,307.0,4.9,15
11934,5413.0,40.2,2176,689.0,14.2,98
11935,2441.0,55.4,1352,167.0,5.4,9
