,postalCode,shape_area,borough,PO_NAME,area_sqkm,area_sqmi
103,10285,67350.3889582,Manhattan,New York,0.0673503889582,0.026004119877538937
104,10286,11264.4123791,Manhattan,New York,0.0112644123791,0.004349212148395268
105,10301,105182712.649,Staten Island,Staten Island,105.18271264900001,40.6112557192042
106,10302,29555323.0234,Staten Island,Staten Island,29.5553230234,11.411369329980786
107,10303,81629773.5183,Staten Island,Staten Island,81.6297735183,31.517418814962667
108,10304,98226679.797,Staten Island,Staten Island,98.226679797,37.925517522981295
109,10305,111441829.317,Staten Island,Staten Island,111.441829317,43.02791318295233
110,10306,174102872.047,Staten Island,Staten Island,174.10287204699998,67.22146710309079
111,10307,46028382.6284,Staten Island,Staten Island,46.028382628399996,17.771650589590497
112,10308,62751041.8152,Staten Island,Staten Island,62.751041815200004,24.228302746932354
113,10309,215835793.513,Staten Island,Staten Island,215.835793513,83.33463154695633
114,10310,53463275.0023,Staten Island,Staten Island,53.4632750023,20.642277404938035
115,10312,169087432.912,Staten Island,Staten Island,169.087432912,65.28499602218902
116,10314,473985727.133,Staten Island,Staten Island,473.985727133,183.00683721750556
117,10451,28944106.5181,Bronx,Bronx,28.9441065181,11.175377414851447
118,10452,27550385.8534,Bronx,Bronx,27.550385853399998,10.637259078769446
119,10453,25748509.2714,Bronx,Bronx,25.7485092714,9.941550926706082
120,10454,31063613.3255,Bronx,Bronx,31.0636133255,11.993723232202202
121,10455,19846918.841,Bronx,Bronx,19.846918840999997,7.662935058347781
122,10456,29933452.4366,Bronx,Bronx,29.9334524366,11.557365852676133
123,10457,37640607.3796,Bronx,Bronx,37.640607379600006,14.533113790478321
124,10458,35968812.9034,Bronx,Bronx,35.9688129034,13.887630599628547
125,10459,22551940.5373,Bronx,Bronx,22.551940537300002,8.707349345332606
126,10460,35155666.6459,Bronx,Bronx,35.155666645900006,13.573673203315284
127,10461,62824057.5538,Bronx,Bronx,62.8240575538,24.25649426963729
128,10462,53022514.1123,Bronx,Bronx,53.0225141123,20.472098743787257
129,10463,39823083.42155,Bronx,Bronx,39.823083421549995,15.375772155227295
130,10464,92357969.30082001,Bronx,Bronx,92.35796930082,35.6595966629852
131,10465,108423743.439,Bronx,Bronx,108.42374343899999,41.86262418928477
132,10466,55262490.6118,Bronx,Bronx,55.2624906118,21.3369581501972
