geography,population,is_zipcode
11769,9031.0,True
11770,124.0,True
11771,10173.0,True
11772,45006.0,True
11776,23629.0,True
11777,9347.0,True
11778,12919.0,True
11779,38273.0,True
11780,15586.0,True
11782,14537.0,True
11783,21588.0,True
11784,25986.0,True
11786,6348.0,True
11787,34656.0,True
11788,17092.0,True
11789,7447.0,True
11790,19934.0,True
11791,25194.0,True
11792,8562.0,True
11793,31497.0,True
11794,1519.0,True
11795,25063.0,True
11796,3715.0,True
11797,9338.0,True
11798,,True
11801,41792.0,True
11803,30219.0,True
11804,4613.0,True
11901,32921.0,True
11930,689.0,True
11931,24.0,True
11932,696.0,True
11933,6784.0,True
11934,8222.0,True
11935,2946.0,True
11937,21806.0,True
11939,1741.0,True
11940,5508.0,True
11941,2472.0,True
11942,5871.0,True
11944,4744.0,True
11946,17303.0,True
11947,248.0,True
11948,775.0,True
11949,13159.0,True
11950,16944.0,True
11951,15830.0,True
11952,4749.0,True
11953,13383.0,True
11954,4073.0,True
11955,2626.0,True
11956,293.0,True
11957,1152.0,True
11958,864.0,True
11959,576.0,True
11960,1037.0,True
11961,12436.0,True
11962,546.0,True
11963,8114.0,True
11964,2858.0,True
11965,421.0,True
11967,27266.0,True
11968,14263.0,True
11970,468.0,True
11971,6507.0,True
11972,309.0,True
11973,42.0,True
11975,423.0,True
11976,2447.0,True
11977,2782.0,True
11978,4376.0,True
11980,5138.0,True
12007,314.0,True
12008,610.0,True
12009,8068.0,True
12010,27339.0,True
12015,4084.0,True
12017,439.0,True
12018,7069.0,True
12019,15683.0,True
12020,34140.0,True
12022,1069.0,True
12023,2364.0,True
12024,80.0,True
12025,5278.0,True
12027,4706.0,True
12028,1132.0,True
12029,1017.0,True
12031,224.0,True
12032,710.0,True
12033,7772.0,True
12035,455.0,True
12036,335.0,True
12037,4045.0,True
12040,29.0,True
12041,353.0,True
12042,286.0,True
12043,7883.0,True
12045,237.0,True
12046,612.0,True
12047,23406.0,True
12051,5706.0,True
12052,1931.0,True
12053,4325.0,True
12054,16988.0,True
12056,1818.0,True
12057,1966.0,True
12058,1451.0,True
12059,1531.0,True
12060,1768.0,True
12061,9778.0,True
12062,1723.0,True
12063,745.0,True
12064,314.0,True
12065,44726.0,True
12066,1830.0,True
12067,1250.0,True
12068,2717.0,True
12069,387.0,True
12070,2404.0,True
12071,221.0,True
12072,3019.0,True
12074,2833.0,True
12075,3147.0,True
12076,1316.0,True
12077,6733.0,True
12078,23087.0,True
12082,3.0,True
12083,3648.0,True
12084,5054.0,True
12085,309.0,True
12086,1644.0,True
12087,1678.0,True
12090,5874.0,True
12092,1423.0,True
12093,1258.0,True
12094,2560.0,True
12095,12013.0,True
12106,1963.0,True
12108,396.0,True
12110,19969.0,True
12115,62.0,True
12116,1533.0,True
12117,2841.0,True
12118,17056.0,True
12120,596.0,True
12121,2325.0,True
12122,3555.0,True
12123,4853.0,True
12124,182.0,True
12125,1147.0,True
12130,305.0,True
12131,209.0,True
12132,129.0,True
12134,4093.0,True
12136,881.0,True
