zip_code,total_population,male_population,female_population,age_under_18,age_18_to_44,age_45_plus,race_white,race_native_american,race_asian,pop_25_over,pct_bachelors_plus_25_over,count_bachelors_plus_25_over,pop_18_24,pct_bachelor_and_over_18_24,count_bachelors_plus_18_24,shape_area,borough,PO_NAME,area_sqkm,area_sqmi,population_density,Education Index,Median_Household_Income,bus_stop_count,subway_count,total_stores
10035,39082.0,19785.0,19297.0,8234.2,16053.8,9452.0,7992.0,664.0,2260.0,27782.0,30.7,8529.0,3187.0,23.3,743.0,38940528.7966,Manhattan,New York,38.9405287966,15.035016049424852,1003.6330067354492,54.0,15056.0,87.0,1.0,55.0
10036,30589.0,17339.0,13250.0,2217.8,15567.2,7902.0,17012.0,29.0,4670.0,25778.0,69.3,17864.0,2692.0,60.9,1639.0,11395110.5096,Manhattan,New York,11.3951105096,4.399674957977579,2684.3969590492156,130.2,18886.0,58.0,5.0,37.0
10037,18333.0,7782.0,10551.0,2930.8,7023.2,4756.0,2574.0,77.0,775.0,14375.0,43.2,6210.0,1035.0,23.6,244.0,7188980.95327,Manhattan,New York,7.188980953270001,2.7756799240194536,2550.1528129186377,66.80000000000001,10205.0,20.0,0.0,17.0
10038,23342.0,10304.0,13038.0,4165.4,11156.6,4134.0,10416.0,43.0,6875.0,16805.0,61.6,10352.0,3210.0,34.5,1107.0,7022760.6429,Manhattan,New York,7.022760642900001,2.7115019297449763,3323.7641416127035,96.1,10694.0,31.0,3.0,23.0
10039,30512.0,14329.0,16183.0,6759.4,11088.6,9141.0,3183.0,143.0,446.0,21944.0,27.2,5969.0,2056.0,20.4,419.0,8419027.88454,Manhattan,New York,8.41902788454,3.250603504276663,3624.1713910972653,47.599999999999994,12427.0,32.0,2.0,28.0
10040,41581.0,19832.0,21749.0,6845.6,15863.4,10964.0,11008.0,514.0,731.0,32180.0,38.3,12325.0,2835.0,22.3,632.0,16340742.7954,Manhattan,New York,16.3407427954,6.309193474789531,2544.621166897337,60.599999999999994,16260.0,34.0,4.0,54.0
10041,,,,,,,,,,,,,,,,162236.646863,Manhattan,New York,0.162236646863,0.062639893827098,,,,0.0,0.0,1.0
10043,,,,,,,,,,,,,,,,38262.3648074,Manhattan,New York,0.0382623648074,0.0147731755768667,,,,0.0,0.0,0.0
10044,11998.0,5561.0,6437.0,2348.6,5024.4,2432.0,5063.0,0.0,3538.0,9119.0,72.0,6566.0,604.0,29.0,175.0,6296113.26978,Manhattan,New York,6.296113269779999,2.430941925688597,1905.6201001954398,101.0,5146.0,0.0,1.0,4.0
10045,,,,,,,,,,,,,,,,47808.9854242,Manhattan,New York,0.0478089854242,0.0184591448902544,,,,0.0,0.0,0.0
10047,,,,,,,,,,,,,,,,20299.5593662,Manhattan,New York,0.0202995593662,0.0078377004704085,,,,0.0,0.0,0.0
10048,,,,,,,,,,,,,,,,972788.42696,Manhattan,New York,0.97278842696,0.3755955572261099,,,,2.0,1.0,0.0
10055,,,,,,,,,,,,,,,,37223.5387892,Manhattan,New York,0.0372235387892,0.0143720827735876,,,,0.0,0.0,0.0
10065,31047.0,13696.0,17351.0,5062.2,12060.8,6991.0,23642.0,0.0,4055.0,24999.0,85.9,21474.0,973.0,55.0,535.0,11442579.5473,Manhattan,New York,11.4425795473,4.418002848371624,2713.2867961862567,140.9,16706.0,43.0,3.0,28.0
10069,6669.0,3727.0,2942.0,1634.8,2612.2,1894.0,3036.0,0.0,1947.0,4958.0,91.0,4512.0,60.0,75.0,45.0,2372365.88899,Manhattan,New York,2.3723658889899997,0.9159752144708168,2811.117808998354,166.0,3202.0,4.0,0.0,1.0
10075,23865.0,9997.0,13868.0,3426.0,8798.0,5909.0,19737.0,0.0,2276.0,18743.0,84.8,15894.0,1740.0,34.7,604.0,4809654.93064,Manhattan,New York,4.80965493064,1.8570173880299652,4961.89442780345,119.5,12536.0,25.0,0.0,17.0
10080,,,,,,,,,,,,,,,,77111.44771,Manhattan,New York,0.0771114477099999,0.0297728841837264,,,,0.0,0.0,0.0
10081,,,,,,,,,,,,,,,,30240.5054524,Manhattan,New York,0.0302405054524,0.0116759196361825,,,,0.0,0.0,0.0
10096,,,,,,,,,,,,,,,,42106.1146917,Manhattan,New York,0.0421061146917,0.0162572550946947,,,,0.0,0.0,0.0
10097,,,,,,,,,,,,,,,,65826.1779787,Manhattan,New York,0.0658261779787,0.025415618969932,,,,0.0,0.0,0.0
10103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,62713.2534062,Manhattan,New York,0.0627132534062,0.0242137125666406,0.0,,0.0,0.0,0.0,0.0
10104,,,,,,,,,,,,,,,,89721.8525423,Manhattan,New York,0.0897218525423,0.0346417867102871,,,,0.0,0.0,0.0
10105,,,,,,,,,,,,,,,,35422.1567546,Manhattan,New York,0.0354221567546,0.0136765655672645,,,,0.0,0.0,0.0
10106,,,,,,,,,,,,,,,,31052.5527962,Manhattan,New York,0.0310525527962,0.0119894527397184,,,,0.0,0.0,0.0
10107,,,,,,,,,,,,,,,,23030.1758969,Manhattan,New York,0.0230301758969,0.0088919969741448,,,,0.0,0.0,0.0
10110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,21249.0635162,Manhattan,New York,0.0212490635162,0.0082043059217318,0.0,,0.0,2.0,0.0,1.0
10111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,103066.25326,Manhattan,New York,0.10306625326,0.0397940865161925,0.0,,0.0,2.0,0.0,0.0
10112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,16700.7379806,Manhattan,New York,0.0167007379805999,0.0064481883357856,0.0,,0.0,0.0,0.0,2.0
10115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,71720.1250888,Manhattan,New York,0.0717201250888,0.0276912837370358,0.0,,0.0,1.0,0.0,0.0
10118,,,,,,,,,,,,,,,,91733.7153701,Manhattan,New York,0.0917337153701,0.0354185709718263,,,,0.0,0.0,1.0
10119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,126392.973553,Manhattan,New York,0.126392973553,0.0488005798747604,0.0,,0.0,0.0,0.0,4.0
10120,,,,,,,,,,,,,,,,35179.27222,Manhattan,New York,0.03517927222,0.0135827873626864,,,,0.0,0.0,1.0
10121,,,,,,,,,,,,,,,,115104.799339,Manhattan,New York,0.115104799339,0.0444421932343865,,,,0.0,0.0,0.0
10122,,,,,,,,,,,,,,,,23294.6381032,Manhattan,New York,0.0232946381032,0.0089941063609217,,,,0.0,0.0,0.0
10123,,,,,,,,,,,,,,,,16138.5369623,Manhattan,New York,0.0161385369623,0.0062311213982179,,,,0.0,0.0,0.0
10128,59000.0,26196.0,32804.0,8297.0,22830.0,14580.0,41579.0,106.0,6166.0,47586.0,77.5,36879.0,3461.0,53.8,1862.0,11011681.5568,Manhattan,New York,11.0116815568,4.251632272443594,5357.9464403932,131.3,30154.0,30.0,1.0,48.0
10151,,,,,,,,,,,,,,,,21380.2683788,Manhattan,New York,0.0213802683788,0.0082549643815914,,,,0.0,0.0,0.0
10152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,59924.9982704,Manhattan,New York,0.0599249982704,0.0231371616821979,0.0,,0.0,0.0,0.0,0.0
10153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,80339.6472271,Manhattan,New York,0.0803396472270999,0.0310192984736777,0.0,,0.0,0.0,0.0,0.0
10154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,79148.8023924,Manhattan,New York,0.0791488023924,0.0305595109013104,0.0,,0.0,0.0,0.0,0.0
10155,,,,,,,,,,,,,,,,24784.6885389,Manhattan,New York,0.0247846885389,0.0095694178142463,,,,0.0,0.0,0.0
10158,,,,,,,,,,,,,,,,35395.7701438,Manhattan,New York,0.0353957701438,0.0136663776440614,,,,0.0,0.0,0.0
