store_name,square_footage,operation_type,georeference,Zip_Code_Clean
ALQADIR DELI & GROCERY,2000.0,Store,POINT (-73.956495558 40.666264389),11225
10 DAYS GROCERY,1800.0,Store,POINT (-73.916450345 40.812661411),10455
107 WILSON EXPRESS,,Store,POINT (-73.926871397 40.701505137),11237
MOSES BAGELS & MORE,,Store,POINT (-73.868140324 40.865032673),10467
WILLIAMSBURG DELI SERVICE,,Store,POINT (-73.958238072 40.708403108),11211
LENOX DELI AND CONVENIENCE,1000.0,Store,POINT (-73.949824904 40.801380542),10026
SANTIAGO DELI 152,2200.0,Store,POINT (-73.946901799 40.830839579),10031
ORGANIC DELI & KIMCHI,,Store,POINT (-73.973574859 40.747650238),10016
APPLE VALLEY MARKET,,Store,POINT (-73.825045691 40.703793858),11415
PRINCE CONVENIENCE GROCERY,1000.0,Store,POINT (-73.894274763 40.639503696),11236
A & E HEALTHY CHOICE,,Store,POINT (-73.922908098 40.80942675),10454
ANOUD DELI,1000.0,Store,POINT (-74.079718419 40.629094336),10304
SKYLINER CONVENIENCE,,Store,POINT (-73.82017438 40.82471421),10465
KINGS HWY DELI & GRILL,1000.0,Store,POINT (-73.975353583 40.604677475),11223
LA TIENDITA DONA FIDE 2,800.0,Store,POINT (-73.845589819 40.843183524),10461
J U GOURMET DELI,2000.0,Store,POINT (-73.940532223 40.820105924),10030
STAR BRITE FLATBUSH,,Store,POINT (-73.946225631 40.631234907),11210
BRONX MINI MART,,Store,POINT (-73.907705505 40.826120861),10456
LUCKY U CONVENIENCE,,Store,POINT (-73.999191548 40.645282599),11232
GAZA CONVIENCE,1000.0,Store,POINT (-73.960733951 40.649716123),11226
ISLAND GROCERY & DELI,,Store,POINT (-73.931534753 40.651817927),11203
MUSA MEAT MARKET,,Store,POINT (-73.887429598 40.826794431),10459
SWEET CANDY DELI,,Store,POINT (-73.960352491 40.658897744),11225
WB SEAFOOD,600.0,Store,POINT (-74.155895754 40.625770493),10303
ACAI BAR AT HATZLACHA SUPERMARKET,,Store,POINT (-73.95704122 40.69830128),11205
KIMBERLY DELI GROCERY,2000.0,Store,POINT (-73.899431226 40.879311832),10463
FRESH DEPOT MARKET,,Store,POINT (-73.892655463 40.680305502),11207
