zip_code,Median_Household_Income
13224,3630.0
13244,5.0
13290,0.0
13301,48.0
13302,609.0
13303,595.0
13304,710.0
13305,167.0
13308,1701.0
13309,2540.0
13310,278.0
13312,157.0
13313,249.0
13314,34.0
13315,485.0
13316,2774.0
13317,1249.0
13318,397.0
13319,253.0
13320,717.0
13321,511.0
13322,397.0
13323,4377.0
13324,793.0
13325,413.0
13326,1913.0
13327,778.0
13328,564.0
13329,1413.0
13331,98.0
13332,869.0
13333,17.0
13334,410.0
13335,462.0
13337,357.0
13338,608.0
13339,2208.0
13340,3265.0
13342,83.0
13343,693.0
13345,83.0
13346,1737.0
13348,616.0
13350,4221.0
13352,1.0
13353,31.0
13354,1241.0
13355,318.0
13357,4488.0
13360,73.0
13361,240.0
13363,927.0
13364,131.0
13365,3367.0
13367,3624.0
13368,420.0
13402,541.0
13403,1952.0
13404,63.0
13406,168.0
13407,2088.0
13408,786.0
13409,869.0
13410,321.0
13411,1169.0
13413,7091.0
13415,45.0
13416,859.0
13417,1653.0
13418,67.0
13420,430.0
13421,5573.0
13424,956.0
13425,741.0
13428,650.0
13431,742.0
13433,691.0
13435,122.0
13436,48.0
13437,131.0
13438,1412.0
13439,1403.0
13440,17645.0
13441,92.0
13450,68.0
13452,1878.0
13454,335.0
13455,25.0
13456,1539.0
13457,27.0
13459,789.0
13460,1615.0
13461,1378.0
13464,495.0
13468,115.0
13469,441.0
13470,263.0
13471,1041.0
13472,115.0
13473,411.0
13475,27.0
13476,1191.0
13477,600.0
13478,1436.0
13480,1344.0
13482,29.0
13483,130.0
13484,49.0
13485,557.0
13486,308.0
13488,72.0
13489,188.0
13490,483.0
13491,1298.0
13492,4787.0
13493,828.0
13494,127.0
13495,918.0
13501,15230.0
13502,13700.0
13601,16401.0
13602,0.0
13603,5106.0
13605,2013.0
13606,883.0
13607,1070.0
13608,712.0
13611,123.0
13612,1239.0
13613,1113.0
13614,105.0
13615,239.0
13616,820.0
13617,4423.0
13618,762.0
13619,4103.0
13620,815.0
13621,255.0
13622,762.0
13623,43.0
13624,1856.0
13625,698.0
13626,933.0
13628,78.0
13630,412.0
13632,24.0
13633,139.0
13634,1552.0
13635,438.0
13636,56.0
13637,2248.0
13638,106.0
13639,20.0
13640,141.0
13641,43.0
13642,3591.0
13643,10.0
13645,0.0
13646,851.0
13647,68.0
13648,956.0
13649,22.0
13650,584.0
13651,74.0
13652,643.0
13654,870.0
13655,1305.0
13656,1042.0
13658,912.0
13659,140.0
13660,688.0
13661,743.0
13662,7067.0
13664,152.0
13665,287.0
13666,89.0
13667,1379.0
13668,1333.0
13669,5966.0
13670,166.0
13672,178.0
13673,714.0
13674,61.0
13675,16.0
13676,5221.0
13678,19.0
13679,468.0
13680,446.0
13681,382.0
13682,299.0
13683,19.0
13684,458.0
13685,1061.0
13687,195.0
13690,272.0
13691,1173.0
13692,80.0
13693,160.0
13694,526.0
13695,48.0
13696,89.0
13697,850.0
13699,0.0
13730,1280.0
13731,548.0
13732,3056.0
13733,2315.0
13734,909.0
13736,793.0
13738,8.0
13739,341.0
13740,252.0
13743,1294.0
13744,425.0
13746,1061.0
13747,0.0
13748,1735.0
13750,235.0
13751,93.0
13752,364.0
13753,1854.0
13754,1205.0
13755,346.0
13756,295.0
13757,511.0
13760,19350.0
13774,95.0
13775,794.0
13776,170.0
13777,166.0
13778,2244.0
13780,330.0
13782,316.0
13783,1036.0
13784,142.0
13786,214.0
13787,1366.0
13788,413.0
13790,8388.0
13795,1497.0
13796,401.0
13797,808.0
13801,684.0
13802,605.0
13803,1505.0
13804,110.0
13806,66.0
13807,471.0
13808,586.0
13809,670.0
13810,510.0
13811,1716.0
13812,912.0
13813,308.0
13814,8.0
13815,5554.0
13820,8156.0
13825,1232.0
13826,39.0
